ID,Database,Location, Bridge Type, Bridge Type Description,Center Latitude,Center Longitude,Center Elevation (m),Inundation Flag (Center),Culvert,
286,NBI,'03.8 NE JCT 9519',1,Slab,47.04236813,-123.6499019,20,1,0,
287,NBI,'14.2 N JCT SR12',2,Stringer/Multi-beam or Girder,47.137546,-123.6372809,49.6,0,0,
288,NBI,'5.0 NE JCT SR 8',4,Tee Beam,47.04960108,-123.306808,56.7,0,0,
289,NBI,'SOUTH OF LANGABEER ROAD',1,Slab,46.87332908,-123.2991165,19.3,1,0,
290,NBI,'05.9 N ABERDEEN',11,Arch - Deck,47.04425366,-123.7929814,4.7,1,0,
291,NBI,'10.0 N HOQUIAM',1,Slab,47.12665855,-123.8107485,39.2,0,0,
292,NBI,'0.8 W JCT SR 109',1,Slab,47.04535429,-124.0570275,0.4,1,0,
293,NBI,'0.9 SW JCT SR 109',1,Slab,47.04471745,-124.0589651,1.2,1,0,
294,NBI,'01.2 W JCT 9641',22,Channel Beam ,46.86645936,-123.3113961,24.5,1,0,
295,NBI,'03.9 NE JCT US 101',1,Slab,47.4819645,-123.8235439,61.5,0,0,
296,NBI,'4.1 NE JCT SR 8',4,Tee Beam,47.04233772,-123.3224011,43,0,0,
297,NBI,'4.3 E JCT SR 12',1,Slab,46.96220695,-123.6785866,2.7,1,0,
298,NBI,'1.5 E JCT 101  105',1,Slab,46.69698616,-123.7070428,4.6,1,0,
299,NBI,'00.9 S JCT SR12',1,Slab,46.96320767,-123.3478522,10.7,1,0,
300,NBI,'02.77 N END SR 103',2,Stringer/Multi-beam or Girder,46.5301993,-124.0564321,4.5,1,0,
301,NBI,'05.2 SW JCT 9519',1,Slab,47.04956056,-123.6986369,24.8,1,0,
302,NBI,'1.4 NE JCT US 101',5,Box Beam or Girders - Multiple,47.46069465,-123.8606593,65.4,0,0,
303,NBI,'0.06 S JCT 9710',1,Slab,47.02950886,-123.3449539,31.3,0,0,
304,NBI,'2.2 SW GRAYS H CO',22,Channel Beam ,46.77597339,-123.4677661,69,0,0,
305,NBI,'0.3 SW JCT SR 109',1,Slab,47.20963061,-124.2038132,15.7,1,0,
306,NBI,'0.37 N JCT SR 401',2,Stringer/Multi-beam or Girder,46.34258799,-123.8125942,10.9,1,0,
307,NBI,'2.3 NE JCT US 101',1,Slab,47.4684624,-123.8458225,62.2,0,0,
308,NBI,'0.1 W JCT SR 12',2,Stringer/Multi-beam or Girder,46.93927762,-123.3135484,8.7,1,0,
309,NBI,'1.3 W JCT CR 9641',1,Slab,46.85560063,-123.309181,25.7,1,0,
310,NBI,'1.9 N JCT CR 9710',1,Slab,47.02691373,-123.4471598,21.9,1,0,
311,NBI,'02.1 N JCT 9710',1,Slab,47.03042723,-123.4450996,23,1,0,
312,NBI,'03.9 N ABERDEEN',1,Slab,47.0258522,-123.8157471,6.6,1,0,
313,NBI,'3.3 SW JCT 4 & 101',1,Slab,46.42622344,-123.8922247,2.9,1,0,
314,NBI,'01.1 E JCT SR12',1,Slab,46.94643229,-123.2952426,18,1,0,
315,NBI,'12.2 N JCT SR12',1,Slab,47.11644845,-123.6566766,44.4,0,0,
316,NBI,'11.7 N ABERDEEN',5,Box Beam or Girders - Multiple,47.10935598,-123.7893037,14.1,1,0,
