ID,Database,Location, Bridge Type, Bridge Type Description,Center Latitude,Center Longitude,Center Elevation (m),Inundation Flag (Center),Culvert,
474,NBI,'0.2 S JCT 62920',19,Culvert (inlcudes frame culverts),46.98003339,-123.564788,6.5,1,1,
475,NBI,'0.1 S JCT 79740',1,Slab,47.07777428,-123.2672146,95.9,0,0,
476,NBI,'0.5 W JCT SR 108',1,Slab,47.080574,-123.2627034,101.9,0,0,
477,NBI,'0.3 N JCT 79740',1,Slab,47.0844631,-123.26019,105.3,0,0,
478,NBI,'4.9 MI. NE OF JCT. HWY. 1',1,Slab,47.50318312,-123.8350991,61.8,0,0,
479,NBI,'5.3 MI. NE OF JCT. HWY. 1',1,Slab,47.5033377,-123.8262432,64.7,0,0,
480,NBI,'6.6 Mi. NE of Jct. Hwy. 1',10,Truss - Thru,47.51099783,-123.8073658,82.2,0,0,
481,NBI,'2.1 MI. NE OF JCT. HWY. 1',4,Tee Beam,47.48168607,-123.8891042,75.5,0,0,
482,NBI,'Approximately MP 6.2 on N',10,Truss - Thru,47.50909938,-123.8177,73.3,0,0,
483,WSDOT,O SHORE 1',25,Other/Unknown,47.00564179,-124.1505591,4.4,1,0,
484,UNINVENTORIED,NW East West Rd,25,Other/Unknown,45.808853,-122.763832,2.1,1,0,
485,UNINVENTORIED,Unnamed,25,Other/Unknown,45.924542,-122.797144,2.2,1,0,
486,UNINVENTORIED,Unnamed,23,Pedestrian,46.231971,-123.326708,19.1,1,0,
487,UNINVENTORIED,Discovery Trail,23,Pedestrian,46.309385,-124.069047,5.8,1,0,
488,UNINVENTORIED,Pedestrian bridge,23,Pedestrian,46.524165,-124.05576,4.6,1,0,
489,UNINVENTORIED,Pedestrian bridge,23,Pedestrian,46.527405,-124.05577,4.5,1,0,
490,UNINVENTORIED,Pedestrian bridge,23,Pedestrian,46.531952,-124.056879,4.6,1,0,
491,UNINVENTORIED,Pedestrian bridge,23,Pedestrian,46.551848,-124.05754,4.8,1,0,
492,UNINVENTORIED,Pedestrian bridge,23,Pedestrian,46.555558,-124.058037,4.7,1,0,
493,UNINVENTORIED,Unnamed,25,Other/Unknown,46.426675,-123.894564,3.1,1,0,
494,UNINVENTORIED,Wilson County Rd,25,Other/Unknown,46.679649,-123.658791,2.2,1,0,
495,UNINVENTORIED,Unnamed,25,Other/Unknown,46.695795,-123.710162,3.8,1,0,
496,UNINVENTORIED,Unnamed,25,Other/Unknown,46.836104,-124.077081,2,1,0,
497,UNINVENTORIED,Unnamed,25,Other/Unknown,46.838428,-123.989137,1.6,1,0,
498,UNINVENTORIED,Unnamed,25,Other/Unknown,46.874453,-123.950497,3.2,1,0,
499,UNINVENTORIED,Unnamed,23,Pedestrian,46.904125,-123.98164,1.8,1,0,
500,UNINVENTORIED,Unnamed,25,Other/Unknown,46.920965,-123.957895,1.5,1,0,
501,UNINVENTORIED,Unnamed,25,Other/Unknown,46.930959,-123.908185,3.6,1,0,
502,UNINVENTORIED,Unnamed,25,Other/Unknown,46.950144,-123.851616,1.9,1,0,
503,UNINVENTORIED,Unnamed,25,Other/Unknown,46.940676,-123.849677,3.5,1,0,
504,UNINVENTORIED,Unnamed,25,Other/Unknown,46.951994,-123.842486,1.4,1,0,
505,UNINVENTORIED,Unnamed,25,Other/Unknown,46.952217,-123.842672,1.3,1,0,
506,UNINVENTORIED,Unnamed,25,Other/Unknown,46.956419,-123.822529,2.9,1,0,
507,UNINVENTORIED,Unnamed,25,Other/Unknown,46.956248,-123.822383,2.1,1,0,
508,UNINVENTORIED,Unnamed,25,Other/Unknown,46.955923,-123.820609,3,1,0,
509,UNINVENTORIED,Basich Trailway,23,Pedestrian,46.959756,-123.777853,2.1,1,0,
510,UNINVENTORIED,Unnamed,25,Other/Unknown,46.962808,-123.595113,2.2,1,0,
511,UNINVENTORIED,Unnamed,25,Other/Unknown,46.978239,-123.85015,2.9,1,0,
512,UNINVENTORIED,Unnamed,23,Pedestrian,47.077201,-124.169126,3.6,1,0,
513,UNINVENTORIED,Unnamed,23,Pedestrian,47.079348,-124.169728,3.8,1,0,
514,UNINVENTORIED,Unnamed,23,Pedestrian,47.081007,-124.170064,3.8,1,0,
515,UNINVENTORIED,Unnamed,23,Pedestrian,47.083343,-124.171711,3.2,1,0,
516,UNINVENTORIED,Chabot Rd,23,Pedestrian,47.086469,-124.172278,3.2,1,0,
517,UNINVENTORIED,Unnamed,23,Pedestrian,47.09614,-124.177113,3.7,1,0,
518,UNINVENTORIED,Unnamed,23,Pedestrian,47.098109,-124.17749,4,1,0,
519,UNINVENTORIED,Unnamed,23,Pedestrian,47.102704,-124.177999,3.2,1,0,
520,UNINVENTORIED,Unnamed,23,Pedestrian,47.104656,-124.178718,3.3,1,0,
521,UNINVENTORIED,Unnamed,23,Pedestrian,47.111307,-124.180271,3,1,0,
522,UNINVENTORIED,B-Line Rd,25,Other/Unknown,47.211614,-124.184684,5,1,0,
523,UNINVENTORIED,BIA 7000 Rd,25,Other/Unknown,47.386605,-124.308439,10.2,1,0,
524,UNINVENTORIED,Unnamed,25,Other/Unknown,47.399311,-124.324408,6.1,1,0,
531,UNINVENTORIED,Ocean Ave,25,Other/Unknown,46.892762,-124.045466,2.1,1,0,
532,UNINVENTORIED,Unnamed,25,Other/Unknown,46.89757,-124.031229,1.9,1,0,
537,UNINVENTORIED,Van Orsdol Rd,25,Other/Unknown,47.043627,-123.792553,4.4,1,0,
538,UNINVENTORIED,Unnamed,25,Other/Unknown,47.043112,-123.792563,4.3,1,0,
539,UNINVENTORIED,HOUCHEN EVAC,25,Other/Unknown,46.27017631,-123.9305498,3.4,1,0,
540,UNINVENTORIED,MORA EVAC,25,Other/Unknown,47.92164159,-124.6197226,3.8,1,0,
541,UNINVENTORIED,DUNES EVAC,25,Other/Unknown,47.05469848,-124.1645989,3.2,1,0,
542,WSDOT,JULIA BUTLER HANSEN,10,Truss - Thru,46.19503471,-123.3847534,1.1,1,0,
543,WSDOT,BIRNE SLOUGH,2,Stringer/Multi-beam or Girder,46.17975653,-123.3771579,2.1,1,0,
544,WSDOT,GOLF PED OCS,23,Pedestrian,46.99982129,-124.1593174,2.7,1,0,
545,WSDOT,DRAINAGE RELIEF CULV,19,Culvert (inlcudes frame culverts),46.88591702,-124.0477382,6.4,1,1,
546,WSDOT,OCASTA DRAINAGE,19,Culvert (inlcudes frame culverts),46.89277739,-124.0321463,2.6,1,1,
547,WSDOT,UNNAMED TRIBUTARY TO BOONE CREEK,19,Culvert (inlcudes frame culverts),47.15743322,-124.1880526,7.8,1,0,
548,WSDOT,SR 105 DRAINAGE,19,Culvert (inlcudes frame culverts),46.8912882,-124.0457765,2.9,1,1,
549,WSDOT,DUCK CREEK,25,Other/Unknown,47.38557804,-124.3123682,13.3,1,0,
550,WSDOT,JOHNSON SLOUGH,19,Culvert (inlcudes frame culverts),46.70658905,-123.8224526,3.5,1,0,
551,WSDOT,KELLOG SLOUGH,19,Culvert (inlcudes frame culverts),46.72994096,-123.8595508,3.4,1,0,
552,UNINVENTORIED,BN Railroad,24,Rail,46.97466164,-123.612953,4.5,1,0,
553,UNINVENTORIED,BN Railroad,24,Rail,46.96567938,-123.6670785,3,1,0,
554,UNINVENTORIED,BN Railroad,24,Rail,46.96039005,-123.698839,3.4,1,0,
555,UNINVENTORIED,BN Railroad,24,Rail,46.96114064,-123.7221539,3,1,0,
556,UNINVENTORIED,BN Railroad,24,Rail,46.97027782,-123.7447901,2.8,1,0,
557,UNINVENTORIED,BN Railroad,24,Rail,46.97334128,-123.7514541,1.1,1,0,
558,UNINVENTORIED,BN Railroad,24,Rail,46.97491324,-123.7703353,0.7,1,0,
559,UNINVENTORIED,BN Railroad,24,Rail,46.97173559,-123.8746588,2.8,1,0,
560,UNINVENTORIED,BN Railroad,24,Rail,46.97193046,-123.8765093,0.7,1,0,
561,UNINVENTORIED,BN Railroad,24,Rail,46.97481296,-123.8101218,0.7,1,0,
562,UNINVENTORIED,BN Railroad,24,Rail,46.974819,-123.810137,1,1,0,
