ID,Latitude,Longitude,Structure Number,Location,Flagged for Inundation
199,47.48039,-123.63189,6.0903E+13,'NO DATA ENTERED',0
200,47.47772,-123.63417,6.0903E+13,'NO DATA ENTERED',0
201,47.44583,-123.74392,6.0903E+13,'NO DATA ENTERED',0
202,47.4265,-123.89433,6.0903E+13,'NO DATA ENTERED',1
203,47.38861,-123.79658,6.0903E+13,'NO DATA ENTERED',1
204,47.35212,-123.86096,6.0903E+13,'NO DATA ENTERED',1
205,47.37326,-123.7887,6.0903E+13,'NO DATA ENTERED',1
206,47.33242,-123.88368,6.0903E+13,'NO DATA ENTERED',1
207,47.29108,-123.85553,6.0903E+13,'OFF HWY 101 3.7 MI FSR 22',1
208,47.33199,-123.82315,6.0903E+13,'NO DATA ENTERED',1
209,47.4173,-123.52853,6.0903E+13,'NO DATA ENTERED',0
210,46.55408,-123.36089,7.9648E+13,'0.18 NE JCT SR 6',0
211,46.37281,-123.74681,7.9732E+13,'3.0 E JCT 4 & 401',0
212,47.51444,-123.77389,7.9758E+13,'7.7 NE JCT US 101',0
213,46.64719,-123.64189,7.9821E+13,'5.9 SE JCT 6 & 101',0
214,47.50062,-123.78472,7.9913E+13,'6.6 E JCT SR 101',1
215,46.98833,-123.40889,7.994E+13,'1.0 S JCT SR 12',0
216,46.99292,-123.40417,7.9941E+13,'0.6 S JCT SR 12',0
217,47.07106,-124.16775,7.9954E+13,'0.1 W JCT SR 109',1
218,46.54472,-123.523,7.9962E+13,'8.5 E LEWIS CO',0
219,46.9887,-123.42478,8.0002E+13,'01.3 W JCT 9641',0
220,47.07278,-124.03861,8.0069E+13,'06.6 NW JCT US 101',1
221,47.072,-124.04278,8.007E+13,'06.8 NW JCT US 101',1
222,47.07199,-124.04358,8.0071E+13,'06.9 NW JCT US 101',1
223,46.98222,-123.41278,8.0082E+13,'1.6 S JCT SR 12',0
224,46.56333,-123.54792,8.0089E+13,'10.0 W LEWIS CO',0
225,46.99181,-123.555,8.0172E+13,'01.7 N JCT 7078',0
226,46.98361,-123.56222,8.0176E+13,'0.2 S JCT MONTE ELMA',0
227,46.99167,-123.31931,8.0197E+13,'3.4 NE JCT SR12',0
228,47.07317,-124.05078,8.0219E+13,'7.2 NW JCT US 101',1
229,46.81569,-123.5475,8.023E+13,'12.2 E JCT US 101',0
230,47.07852,-123.69989,8.0266E+13,'0.4 W JCT WYN VAL',0
231,47.15347,-123.84042,8.0319E+13,'12.4 N HOQUIAM',1
232,46.98433,-123.46925,8.0334E+13,'04.1 W JCT 9641',0
233,46.81817,-123.58268,8.0381E+13,'9.8 E JCT US 101',0
234,46.80995,-124.09192,8.0401E+13,'0.1 E JCT SR 105',1
235,47.07267,-123.35467,8.0463E+13,'1.5 NE JCT 7815',0
236,47.16217,-124.10339,8.0535E+13,'06.0 SE JCT SR 109',1
237,46.79917,-124.08972,8.0562E+13,'0.1 E JCT SR 105',1
238,47.06833,-123.35661,8.0612E+13,'1.5 N JCT CR 7815',0
239,46.97889,-123.47917,8.0624E+13,'1.5 S JCT SR 12',0
240,46.53567,-123.48053,8.0648E+13,'19.1 SE JCT US 101',0
241,46.62633,-123.59639,8.065E+13,'8.7 SE JCT 6 & 101',0
242,46.62911,-123.95328,8.0709E+13,'2.39 W JCT SR 101',1
243,47.23919,-124.21525,8.0715E+13,'00.1 W JCT SR 109',1
244,46.36461,-123.80978,8.0718E+13,'1.0 S JCT 4 & 401',1
245,46.36783,-123.82136,8.0834E+13,'1.3 SW JCT 4 & 401',1
246,46.62919,-123.69775,8.0858E+13,'2.48 S JCT SR 6',0
247,47.05708,-123.92786,8.0859E+13,'0.0 W JCT US 101',1
248,46.97597,-123.56468,8.0886E+13,'0.4 S JCT 6292',0
249,47.05806,-123.30806,8.0891E+13,'0.5 N JCT CR 7974',0
250,46.80611,-123.30944,8.0894E+13,'0.6 W JCT 6888',0
251,46.96806,-123.30861,8.093E+13,'1.4 NE JCT SR12',0
252,46.88444,-123.68306,8.0942E+13,'1.7 E JCT SR 101',0
253,46.89058,-123.68229,8.0944E+13,'1.9 E JCT US 101',0
254,47.06444,-123.55333,8.0953E+13,'02.3 N JCT 9725',0
255,46.62944,-123.69614,8.0965E+13,'4.70 S JCT SR 101',0
256,46.62778,-123.69056,8.0971E+13,'5.01 S JCT SR 101',0
257,47.49242,-123.81461,8.0996E+13,'5.0 NE JCT US 101',1
258,46.61303,-123.90003,8.1014E+13,'12.6 N JCT 4 & 101',1
259,47.05583,-123.29944,8.1045E+13,'00.1 NE JCT 7974',0
260,47.49,-123.8125,8.1053E+13,'0.2 S JCT 9340',1
261,47.06464,-124.04028,8.1054E+13,'00.2 W JCT 9415',1
262,47.49278,-123.80175,8.1057E+13,'0.2 S JCT 9340',1
263,46.97194,-123.42333,8.1067E+13,'0.4 S JCT 9634',0
264,46.79583,-123.16261,8.1073E+13,'0.4 W THURSTON CO.',0
265,47.05667,-123.3,8.1104E+13,'01.3 NE JCT 9740',0
266,47.06,-123.2975,8.1113E+13,'01.6 NE JCT 9740',0
267,46.36464,-123.78111,8.1115E+13,'1.7 SW JCT 4 & 401',0
268,47.23706,-123.91576,8.1135E+13,'03.3 E JCT SR101',1
269,46.80444,-123.29972,8.1139E+13,'03.6 SW JCT 9641',0
270,46.632,-123.54564,8.1156E+13,'9.0 W LEWIS CO',0
271,46.79381,-123.53222,8.1171E+13,'00.0 PACIFIC CO LIN',0
272,47.50314,-123.78115,8.1328E+13,'6.8 NE JCT US 101',0
273,46.53419,-123.51586,8.1344E+13,'0.25 SW JCT SR 6',0
274,46.35736,-123.73008,8.1356E+13,'0.1 W WAHKIAKUM CO',0
275,46.97722,-123.61611,8.1371E+13,'00.4 E JCT SR 12',0
276,46.53236,-123.49503,8.1427E+13,'18.3 SE JCT US 101',0
277,46.37339,-123.74758,8.1446E+13,'2.9 E JCT 4 & 401',0
278,46.97078,-123.62528,8.1474E+13,'0.6  S JCT SR12',0
279,47.23417,-123.98611,8.1485E+13,'01.4 W JCT SR 101',1
280,46.96889,-123.38056,8.1492E+13,'0.1 MI. NW DELEZENNE RD',0
281,46.95633,-123.6394,8.1738E+13,'0.6 S JCT 5294',0
282,46.87806,-123.2775,8.1739E+13,'1.4 S JCT SR 12',0
283,47.04111,-123.65,8.1772E+13,'03.6 NE JCT 9519',0
284,47.04361,-123.52444,8.1773E+13,'3.5 N BRADY',0
285,47.04278,-123.64972,8.1774E+13,'03.8 NE JCT 9519',0
286,47.1375,-123.63722,8.179E+13,'14.2 N JCT SR12',0
287,47.04972,-123.30694,8.1926E+13,'5.0 NE JCT SR 8',0
288,46.87333,-123.29903,8.1929E+13,'SOUTH OF LANGABEER ROAD',0
289,47.04426,-123.7929,8.1933E+13,'05.9 N ABERDEEN',1
290,47.12667,-123.81069,8.2023E+13,'10.0 N HOQUIAM',1
291,47.04539,-124.05696,8.2024E+13,'0.8 W JCT SR 109',1
292,47.04472,-124.05894,8.2031E+13,'0.9 SW JCT SR 109',1
293,46.86639,-123.31139,8.2045E+13,'01.2 W JCT 9641',0
294,47.48199,-123.82356,8.209E+13,'03.9 NE JCT US 101',1
295,47.04234,-123.3225,8.2095E+13,'4.1 NE JCT SR 8',0
296,46.96222,-123.67853,8.2097E+13,'4.3 E JCT SR 12',0
297,46.697,-123.70708,8.2144E+13,'1.5 E JCT 101  105',0
298,46.96333,-123.34778,8.218E+13,'00.9 S JCT SR12',0
299,46.53,-124.055,8.2182E+13,'02.77 N END SR 103',1
