 

GAUGE REPORT

EVENT: buried-locking-str10-deep

LOCATION: Newport

 
               SUMMARY FOR EACH OF THESE GAUGES                
                           max     max   max IE    max    max       max                      
 Gauge     B0        B      h      eta   post-eta   s     hs        hss        tmax    tfirst
   No     (m)       (m)    (m)     (m)     (m)    (m/s)  (m*m/s)  (m^3/s^2)    (min)   (min) 
 1066   -3.193   -2.943   4.14    1.20    1.20    0.67      2.45      1.55     95.5     31.8
 1067   -1.734   -1.468   2.66    1.19    1.19    0.57      1.39      0.79     91.3     35.9
 1068   -0.849   -0.582   1.72    1.13    1.13    0.70      1.20      0.84     91.3     37.0
 1069   -1.342   -1.074   1.65    0.68    0.57    3.87      4.46     17.02    103.2     46.6
 1070   -1.472   -1.206   1.73    0.68    0.52    0.67      1.13      0.76    116.3     56.2
 1071   -7.422   -7.224   8.43    1.21    1.21    1.71     13.89     23.78     94.4     25.9
 1072   -5.478   -5.282   6.48    1.20    1.20    1.73     10.62     18.24     94.3     25.9
 1073   -2.550   -2.387   3.57    1.18    1.18    1.30      4.49      5.69     93.4     11.0
 1074   -2.981   -2.819   4.02    1.20    1.20    1.05      4.18      4.38     93.4     10.4
 1075   -0.972   -0.806   1.93    1.13    1.13    0.30      0.34      0.10    106.7     14.7
 1076   -0.703   -0.538   0.71    0.60    0.18    0.01      0.01      0.00    119.9  -9999.0
 1077   21.199   21.679   0.00   21.91   21.68    0.00      0.00      0.00      0.0  -9999.0
 1078   21.310   21.790   0.00   22.02   21.79    0.00      0.00      0.00      0.0  -9999.0
 
 
