%Lon   Lat   NEOWAVE_non_dispersive(15-arc-sec)   NEOWAVE_dispersive(15-arc-sec)    MOST(15-arc-sec)   MOST(30-arc-sec)
-124.680000 47.160000 5.248424 3.770437 4.852627 4.097668
-124.680000 47.153000 5.208441 3.738102 4.806982 3.864770
-124.673000 47.133000 4.535145 3.362842 4.272321 3.357967
-124.680000 47.127000 4.050016 3.084659 3.941894 3.055419
-124.682000 47.113000 3.352622 2.710260 4.900786 2.910149
-124.682000 47.093000 2.813282 2.613927 5.108212 2.889060
-124.678000 47.080000 3.121392 2.953335 4.613852 2.940734
-124.671000 47.067000 3.405320 3.302283 4.349702 3.293457
-124.666000 47.053000 3.977990 3.550369 3.848592 3.677810
-124.660000 47.036000 5.184524 3.774990 4.880677 3.921343
-124.655000 47.020000 5.522178 3.709293 4.844040 3.781431
-124.653000 47.003000 4.969235 3.499406 4.299549 3.282869
-124.647000 46.992000 4.078354 3.000738 3.384575 3.005204
-124.635000 46.980000 3.208075 2.575463 2.878051 2.721221
-124.627000 46.969000 3.053971 2.561122 2.888409 2.578561
-124.621000 46.953000 3.134171 2.909294 2.868104 3.012775
-124.613000 46.940000 3.966582 3.408384 3.639556 3.450958
-124.607000 46.932000 4.359335 3.702147 3.995137 3.888315
-124.593000 46.922000 5.443390 4.152754 4.389124 4.345968
-124.586000 46.913000 5.768307 4.387639 4.735441 4.704982
-124.582000 46.893000 6.411503 4.748241 5.503923 5.507043
-124.573000 46.880000 7.250034 4.870501 5.935515 5.704747
-124.566000 46.873000 7.661659 5.031451 6.208885 5.765060
-124.565000 46.853000 7.359013 5.586030 6.965090 5.783510
-124.560000 46.833000 7.005782 5.539448 6.783936 5.602700
-124.557000 46.820000 6.974828 5.137607 6.310472 5.426917
-124.547000 46.813000 6.592864 4.835822 5.719485 5.463516
-124.533000 46.803000 6.418140 4.655884 5.407827 5.390069
-124.528000 46.787000 6.017244 4.591526 5.258038 5.131075
-124.522000 46.773000 5.519302 4.406725 4.874885 4.950931
-124.521000 46.753000 4.462013 4.019451 4.341418 4.485196
-124.513000 46.740000 3.831135 3.736876 4.083121 4.228376
-124.507000 46.731000 3.695376 3.487667 3.847217 3.991208
-124.499000 46.720000 3.604521 3.322849 3.601741 3.644264
-124.493000 46.707000 3.382053 3.153185 3.425391 3.552601
-124.486000 46.693000 3.403327 3.181219 3.470636 3.505920
-124.476000 46.680000 3.564546 3.383288 3.799462 3.515565
-124.474000 46.660000 3.991830 3.602081 4.117983 3.737438
-124.467000 46.649000 4.417195 3.656532 4.233826 3.868485
-124.453000 46.641000 4.824084 3.650517 4.319821 3.967067
-124.445000 46.633000 4.899720 3.599852 4.332585 3.956351
-124.440000 46.620000 4.642535 3.505404 4.249796 3.815891
-124.434000 46.600000 3.866456 3.257602 3.806329 3.475481
-124.432000 46.587000 3.647914 3.145868 3.579118 3.276283
-124.433000 46.567000 3.684861 3.086042 3.507022 3.252250
-124.433000 46.555000 3.927802 3.140457 3.741524 3.281205
-124.429000 46.540000 4.065780 3.210432 3.902240 3.490644
-124.425000 46.527000 3.870724 3.208937 3.735430 3.436694
-124.420000 46.515000 3.754399 3.197855 3.615099 3.322788
-124.420000 46.500000 3.588535 3.073384 3.446178 3.172480
-124.415000 46.487000 3.543311 3.040458 3.353125 3.088589
-124.414000 46.467000 3.643630 3.074716 3.392640 3.074536
-124.412000 46.453000 3.802596 3.185700 3.524206 3.197007
-124.410000 46.433000 4.322727 3.480926 3.892571 3.491569
-124.407000 46.417000 4.270064 3.271510 3.819408 3.539753
-124.402000 46.400000 3.728654 2.794156 3.193289 2.921670
-124.393000 46.389000 4.902254 3.482340 4.220373 2.587573
-124.385000 46.380000 5.679404 3.638842 5.532773 3.061965
-124.377000 46.367000 5.253164 4.756371 5.106413 4.976448
-124.370000 46.353000 5.857495 5.519597 5.922473 5.289927
-124.360000 46.343000 7.389023 5.401860 5.902085 4.931638
-124.348000 46.333000 6.847369 4.998479 5.673705 4.193203
-124.340000 46.326000 5.773651 4.485069 5.011120 3.645372
-124.330000 46.313000 5.497772 3.667978 4.073160 3.323106
-124.322000 46.300000 3.982846 2.963486 3.165907 2.606557
-124.316000 46.287000 2.881212 2.830562 2.762133 2.690502
-124.310000 46.273000 2.986720 2.925708 2.851733 2.775039
-124.304000 46.260000 3.152097 3.060577 3.009518 2.906859
-124.302000 46.240000 3.317375 3.179716 3.192851 3.039803
-124.299000 46.227000 3.421987 3.269064 3.246812 3.079535
-124.293000 46.207000 3.450828 3.321459 3.302710 3.124940
-124.284000 46.200000 3.479210 3.359839 3.365869 3.190175
-124.288000 46.187000 3.509185 3.387940 3.408294 3.297339
-124.297000 46.173000 3.587415 3.423021 3.487289 3.417361
-124.290000 46.160000 3.635026 3.370851 3.525126 3.558962
-124.287000 46.147000 3.568866 3.207435 3.395782 3.534564
-124.292000 46.133000 4.254025 3.698639 3.619026 3.537250
-124.295000 46.120000 4.937581 4.338410 4.507653 4.058524
-124.290000 46.107000 5.485775 4.919494 5.237086 4.460259
-124.284000 46.093000 6.782892 6.158913 6.324764 5.143108
-124.276000 46.080000 9.525890 7.382746 7.785627 5.407687
-124.270000 46.067000 12.597341 8.256607 9.119263 5.654696
-124.265000 46.053000 10.911617 7.979871 9.211359 5.403799
-124.260000 46.040000 9.521871 6.968342 8.285480 5.155162
-124.253000 46.026000 7.614172 5.638171 7.022594 4.511643
-124.243000 46.013000 6.202586 4.983580 6.304261 4.196582
-124.237000 46.000000 5.187385 4.487321 5.656378 3.614305
-124.228000 45.987000 4.907853 4.172632 5.139412 3.442523
-124.220000 45.973000 5.201596 4.076206 4.799170 3.521329
-124.216000 45.960000 5.577447 4.159861 4.702021 3.702929
-124.213000 45.946000 5.762509 4.230973 4.759733 3.746994
-124.205000 45.933000 5.400947 4.177651 4.724539 3.708190
-124.200000 45.917000 4.318895 3.828916 4.477232 3.523035
-124.193000 45.903000 4.044526 3.684861 4.383304 3.383587
-124.189000 45.887000 4.107211 3.651206 4.378664 3.403350
-124.182000 45.873000 4.224507 3.753925 4.489381 3.530671
-124.180000 45.853000 4.774088 4.031992 4.850033 3.743621
-124.179000 45.840000 5.269113 4.192411 4.969926 3.821234
-124.180000 45.831000 5.611194 4.300963 4.954536 3.763101
-124.175000 45.813000 5.799104 4.302208 4.835476 3.707762
-124.173000 45.798000 5.898293 4.197686 4.645613 3.545168
-124.168000 45.780000 4.839893 3.815211 4.292748 3.454392
-124.166000 45.767000 4.383520 3.575034 4.088424 3.359690
-124.164000 45.747000 4.001479 3.359822 3.879077 3.306622
-124.164000 45.727000 3.863448 3.232587 3.710082 3.155044
-124.160000 45.711000 3.813359 3.186369 3.612416 3.051249
-124.161000 45.700000 3.704347 3.103740 3.494543 3.008266
-124.162000 45.680000 3.471852 2.940700 3.321949 2.943859
-124.161000 45.660000 3.254103 2.789062 3.127589 2.908773
-124.163000 45.640000 3.047001 2.707240 3.025660 2.844318
-124.160000 45.627000 3.019923 2.722350 3.015258 2.829858
-124.154000 45.607000 2.990827 2.712354 2.998574 2.786386
-124.153000 45.597000 2.946663 2.672857 2.957879 2.746773
-124.151000 45.587000 2.942967 2.668366 2.942357 2.677881
-124.147000 45.572000 2.920595 2.637986 2.908973 2.653938
-124.142000 45.553000 2.929325 2.628445 2.892532 2.635458
-124.139000 45.540000 2.979598 2.652172 2.919363 2.645157
-124.137000 45.520000 3.066860 2.696924 3.008742 2.717257
-124.136000 45.500000 3.196262 2.802903 3.154391 2.820774
-124.135000 45.480000 3.452131 2.996887 3.367497 2.975300
