%Lon   Lat   NEOWAVE_non_dispersive(15-arc-sec)   NEOWAVE_dispersive(15-arc-sec)    MOST(15-arc-sec)   MOST(30-arc-sec)
-124.653000 42.947000 2.110931 1.798130 2.302812 1.829746
-124.658000 42.933000 2.074304 1.736900 2.093136 1.697326
-124.664000 42.920000 1.646689 1.497754 2.097347 1.487411
-124.668000 42.907000 1.608391 1.424093 2.006880 1.425007
-124.673000 42.889000 1.604506 1.338405 1.500626 1.446897
-124.676000 42.873000 1.428991 1.248266 1.540945 1.475558
-124.680000 42.859000 1.414455 1.262599 1.647025 1.427411
-124.687000 42.840000 1.392003 1.244725 1.583315 1.389488
-124.689000 42.827000 1.368346 1.368073 1.354329 1.245528
-124.683000 42.813000 1.378497 1.293680 1.339969 1.311024
-124.673000 42.801000 1.160824 1.160118 1.481722 1.299994
-124.670000 42.787000 1.207556 1.057630 1.406555 1.156465
-124.671000 42.767000 1.029993 0.965529 1.351771 0.922774
-124.660000 42.755000 1.046445 0.950110 1.320350 0.998041
-124.652000 42.747000 1.104378 0.904798 1.238545 1.114625
-124.640000 42.739000 1.014343 0.858333 1.276385 1.176844
-124.627000 42.729000 0.998946 0.887997 1.330782 1.324349
-124.617000 42.720000 0.954025 0.852072 1.467271 1.359958
-124.611000 42.707000 0.999519 0.838025 1.496358 1.348679
-124.600000 42.695000 0.989780 0.914869 1.518273 1.275976
-124.587000 42.689000 1.026851 0.907601 1.474686 1.281173
-124.589000 42.680000 1.031686 0.950758 1.510143 1.205992
-124.590000 42.660000 1.023521 1.013515 1.425074 1.067504
-124.593000 42.647000 1.145177 1.087412 1.308745 0.978735
-124.592000 42.633000 1.159099 1.079277 1.323512 1.200725
-124.589000 42.613000 1.091517 1.025667 1.559731 1.345918
-124.589000 42.593000 1.668525 1.085177 1.701500 1.373261
-124.593000 42.579000 1.689649 1.164829 1.746011 1.389915
-124.601000 42.567000 1.676462 1.232705 1.756553 1.373092
-124.609000 42.553000 1.333492 1.314010 1.541208 1.404800
-124.620000 42.541000 1.437750 1.365651 1.364093 1.401054
-124.622000 42.527000 1.480103 1.424873 1.410005 1.233922
-124.627000 42.511000 1.480224 1.444073 1.528543 1.152858
-124.640000 42.503000 1.415986 1.387837 1.162934 0.997503
-124.659000 42.500000 1.398288 1.398422 1.193391 1.037738
-124.669000 42.493000 1.555247 1.553634 1.244856 1.008527
-124.666000 42.480000 1.640845 1.639175 1.261180 1.052887
-124.653000 42.467000 1.611964 1.610224 1.311762 1.439675
-124.653000 42.460000 1.606497 1.605452 1.402905 1.348574
-124.660000 42.445000 1.565639 1.565123 1.153645 0.995318
-124.661000 42.427000 1.463376 1.321366 1.544884 1.236572
-124.640000 42.424000 1.959121 1.354482 1.677434 1.392275
-124.653000 42.417000 1.708745 1.257354 1.933075 1.299655
-124.628000 42.413000 2.030304 1.313078 2.056721 1.566686
-124.620000 42.403000 1.862085 1.263262 1.965873 1.346976
-124.611000 42.393000 1.873896 1.227065 2.024887 1.262097
-124.600000 42.384000 1.990364 1.322888 2.174776 1.335725
-124.587000 42.378000 2.210810 1.409618 2.278603 1.508333
-124.573000 42.373000 2.338752 1.469523 2.397939 1.563428
-124.559000 42.367000 2.711947 1.507631 2.467319 1.595334
-124.544000 42.360000 2.791537 1.509003 2.368872 1.581628
-124.533000 42.351000 2.756900 1.513435 2.155267 1.627690
-124.522000 42.340000 2.591233 1.516861 1.909723 1.618867
-124.516000 42.327000 2.106775 1.409202 1.734853 1.518598
-124.507000 42.315000 1.746850 1.410786 1.637722 1.502098
-124.500000 42.301000 1.797497 1.312412 1.771715 1.527035
-124.493000 42.293000 1.711375 1.240752 1.822589 1.602935
-124.491000 42.273000 1.922115 1.230737 1.758373 1.548677
-124.481000 42.260000 1.932627 1.555490 1.688137 1.550092
-124.476000 42.247000 1.820833 1.820921 1.615491 1.513359
-124.472000 42.233000 2.097652 2.097673 1.547929 1.342492
-124.467000 42.213000 2.523246 2.521798 1.299676 1.287545
-124.460000 42.200000 2.591413 2.590607 1.349567 1.327710
-124.454000 42.187000 2.723515 2.723588 1.468383 1.447457
-124.458000 42.167000 2.783603 2.783433 1.551267 1.547883
-124.465000 42.153000 2.686816 2.686245 1.613400 1.628180
-124.454000 42.140000 2.611996 2.610172 1.677653 1.682233
-124.452000 42.127000 2.379026 2.379170 1.749752 1.750239
-124.455000 42.113000 2.059532 2.059142 1.789762 1.759974
-124.460000 42.100000 1.950114 1.950179 1.790914 1.790648
-124.458000 42.087000 2.103752 1.967154 1.789274 1.778295
-124.453000 42.073000 2.694475 1.988827 1.966915 1.761400
-124.456000 42.060000 3.115254 1.981608 2.341501 1.593291
-124.447000 42.052000 2.954683 1.958961 2.226021 1.537980
-124.431000 42.047000 2.754227 1.960959 1.996757 1.609911
-124.420000 42.037000 2.481022 1.922542 1.690787 1.443282
-124.413000 42.027000 2.134328 1.841764 1.594131 1.478900
-124.405000 42.013000 3.128246 1.910930 2.189247 1.482060
-124.400000 42.000000 3.718892 2.099526 2.453179 1.389764
-124.395000 41.980000 3.327091 1.993834 2.409394 1.345421
-124.392000 41.967000 3.036463 1.839731 2.170834 1.474088
-124.388000 41.947000 2.665663 1.702632 1.957277 1.630029
-124.388000 41.927000 2.727293 1.876968 1.920042 1.899580
-124.391000 41.907000 2.820319 2.129809 2.279894 2.027876
-124.394000 41.893000 2.925886 2.387032 2.583470 2.148982
-124.399000 41.873000 3.057515 2.550400 2.801566 2.338246
-124.402000 41.860000 3.071521 2.627010 2.884093 2.416668
-124.405000 41.840000 3.001342 2.637531 2.860542 2.648669
-124.405000 41.820000 2.793159 2.525892 2.731483 2.741063
-124.403000 41.800000 2.726192 2.455058 2.780025 2.643186
-124.400000 41.786000 2.877435 2.490224 2.916511 2.594203
-124.393000 41.773000 3.196773 2.543993 3.040337 2.576353
-124.380000 41.761000 3.527530 2.567585 3.059796 2.543855
-124.371000 41.753000 3.718970 2.553268 3.033321 2.512969
-124.360000 41.740000 3.872962 2.504668 2.949861 2.399992
-124.361000 41.733000 3.955653 2.484350 2.950989 2.456025
-124.373000 41.722000 4.065656 2.453380 3.054864 2.622148
-124.380000 41.707000 3.956214 2.437502 3.084839 2.671311
-124.381000 41.693000 3.826029 2.446014 3.054687 2.632201
-124.380000 41.675000 3.596288 2.432857 3.018615 2.582757
-124.381000 41.667000 3.577441 2.433344 2.976157 2.559128
-124.383000 41.647000 3.613329 2.410848 2.853145 2.516566
-124.383000 41.627000 3.491242 2.442375 2.801837 2.464882
-124.380000 41.613000 3.398190 2.468041 2.839752 2.468019
-124.382000 41.600000 3.340544 2.508523 2.891617 2.520037
-124.380000 41.587000 3.364402 2.587988 3.020294 2.588661
-124.379000 41.567000 3.342444 2.741986 3.243578 2.627510
-124.383000 41.553000 3.365660 2.780361 3.345728 2.645299
-124.384000 41.533000 3.585444 2.804080 3.353554 2.572415
-124.383000 41.513000 3.376579 2.636744 3.171119 2.437875
-124.385000 41.493000 3.158476 2.465409 2.833960 2.163859
-124.387000 41.480000 2.853076 2.221122 2.667213 2.056940
-124.387000 41.460000 2.694114 2.104057 2.409089 1.899295
-124.385000 41.447000 2.622120 2.034281 2.435087 1.897252
-124.380000 41.428000 2.594113 2.037881 2.433465 1.879953
-124.377000 41.413000 2.521262 1.940968 2.376812 1.846134
-124.370000 41.400000 2.452380 1.893807 2.233292 1.754016
-124.360000 41.388000 2.304063 1.788700 2.144508 1.702946
-124.353000 41.380000 2.285026 1.772195 2.137772 1.658866
-124.346000 41.367000 2.211065 1.689284 1.987033 1.624285
-124.337000 41.353000 2.195336 1.635610 1.948922 1.577350
-124.333000 41.337000 2.072808 1.555929 1.767940 1.530737
-124.320000 41.329000 1.955838 1.539152 1.708467 1.446473
-124.313000 41.320000 1.886689 1.496276 1.691226 1.436993
-124.307000 41.300000 1.721927 1.488212 1.631239 1.456521
-124.304000 41.287000 1.768223 1.501369 1.657599 1.460471
-124.302000 41.267000 1.712117 1.510885 1.671325 1.444976
-124.293000 41.254000 1.653007 1.503275 1.663147 1.460293
-124.290000 41.240000 1.694859 1.500729 1.656439 1.465615
-124.285000 41.227000 1.719537 1.530776 1.690066 1.463866
-124.287000 41.212000 1.705966 1.519760 1.694801 1.477964
-124.289000 41.193000 1.626875 1.503764 1.694423 1.508943
-124.283000 41.180000 1.713099 1.536519 1.751350 1.542589
-124.278000 41.167000 1.779058 1.612731 1.788266 1.604028
-124.280000 41.152000 1.833166 1.655893 1.831788 1.627557
-124.284000 41.133000 1.829722 1.630602 1.836068 1.651375
-124.287000 41.120000 1.795111 1.598768 1.764508 1.674320
-124.289000 41.100000 1.729742 1.575903 1.767489 1.680222
-124.291000 41.080000 1.804173 1.582496 1.762817 1.725727
-124.293000 41.062000 1.945525 1.605704 1.797203 1.793505
-124.295000 41.047000 2.066589 1.665188 1.880593 1.786817
-124.300000 41.031000 2.174056 1.759911 1.974195 1.745337
-124.304000 41.013000 2.153056 1.814959 2.040719 1.763512
-124.307000 41.000000 2.071042 1.828151 2.070680 1.725247
-124.314000 40.987000 2.024943 1.824403 2.074609 1.684653
-124.318000 40.967000 1.891020 1.707066 1.902897 1.661599
-124.322000 40.953000 1.766721 1.621363 1.740186 1.583725
-124.329000 40.940000 1.711709 1.538562 1.632539 1.539040
-124.333000 40.923000 1.737773 1.450518 1.658590 1.453058
-124.337000 40.907000 1.823029 1.522242 1.529580 1.472786
-124.342000 40.893000 1.852944 1.564948 1.562246 1.530887
-124.349000 40.880000 1.833044 1.573907 1.597435 1.580553
-124.356000 40.867000 1.902700 1.651421 1.649461 1.641520
-124.364000 40.853000 2.060781 1.670119 1.742326 1.642147
-124.373000 40.840000 2.191764 1.721057 1.850805 1.683391
-124.380000 40.831000 2.249177 1.699191 1.876377 1.725658
-124.391000 40.820000 2.326006 1.726014 1.951827 1.763772
-124.400000 40.811000 2.456575 1.803983 2.046602 1.736243
-124.411000 40.800000 2.571584 1.870519 2.142164 1.797141
-124.420000 40.788000 2.612107 1.905489 2.194266 1.874074
-124.427000 40.780000 2.676768 1.955888 2.234915 1.929140
-124.437000 40.767000 2.647265 2.016346 2.333300 1.953174
-124.447000 40.755000 2.609429 2.012537 2.340441 2.003063
-124.453000 40.746000 2.576475 2.035046 2.345785 2.027552
-124.460000 40.733000 2.565231 2.036049 2.324570 2.077984
-124.468000 40.720000 2.539828 2.064939 2.315575 2.049583
-124.475000 40.707000 2.401615 2.025079 2.289311 2.033861
-124.478000 40.687000 2.170725 1.940288 2.113618 1.974489
-124.478000 40.667000 1.854887 1.801484 1.853780 1.863267
-124.467000 40.653000 1.784133 1.724294 1.750261 1.714662
-124.467000 40.641000 1.742874 1.682755 1.715725 1.703661
-124.471000 40.627000 1.763142 1.665858 1.718163 1.692872
-124.461000 40.613000 1.693438 1.625011 1.662807 1.680435
-124.467000 40.600000 1.684941 1.602064 1.651173 1.666417
-124.478000 40.587000 1.635454 1.568951 1.628663 1.609344
-124.485000 40.573000 1.612506 1.542700 1.597434 1.575069
-124.493000 40.564000 1.654093 1.592360 1.641141 1.608326
-124.513000 40.562000 1.791085 1.708116 1.738372 1.683719
-124.527000 40.556000 1.673054 1.656558 1.668528 1.698365
-124.540000 40.549000 1.767387 1.611236 1.637177 1.573443
-124.551000 40.540000 1.845032 1.653414 1.755915 1.572742
-124.560000 40.532000 1.757843 1.597039 1.745344 1.636137
-124.572000 40.520000 1.818239 1.539440 1.576894 1.443068
-124.578000 40.507000 1.510621 1.259618 1.313752 1.302666
-124.579000 40.487000 1.273738 0.991348 1.369274 1.316005
-124.580000 40.480000 1.592180 1.001659 1.418177 1.202112
-124.573000 40.467000 1.419019 0.926155 1.342369 1.195119
-124.566000 40.453000 1.279369 0.931622 1.052861 1.093741
-124.532900 40.429100 1.005838 0.929119 0.935424 0.936812
-124.498300 40.410100 1.042094 0.865498 0.912612 0.940844
-124.476500 40.404500 0.956379 0.853733 0.900304 0.964992
-124.455600 40.396400 1.005122 0.775805 0.824493 0.869676
-124.431300 40.385200 0.903791 0.797560 0.826525 0.868759
-124.413500 40.375400 1.012152 0.880525 0.893440 0.901477
-124.425500 40.365100 1.013888 0.822761 0.833823 0.853148
-124.447600 40.344600 0.905952 0.825279 0.835142 0.820081
-124.439700 40.324600 1.042158 0.798606 0.845699 0.844752
-124.427800 40.307100 0.819384 0.739949 0.777954 0.783133
-124.410600 40.289900 0.764857 0.715081 0.789326 0.799000
-124.441100 40.269900 0.741348 0.662440 0.691452 0.717184
-124.449400 40.250900 0.683370 0.657419 0.710834 0.691295
-124.433200 40.232900 0.758230 0.684887 0.772731 0.747476
-124.409700 40.217600 0.762788 0.713395 0.792557 0.811853
-124.378400 40.211600 0.817578 0.768371 0.859886 0.882709
-124.355900 40.195400 0.712102 0.708614 0.770813 0.760051
-124.332500 40.180100 0.647433 0.615563 0.680173 0.713064
-124.309000 40.164000 0.578124 0.558498 0.670537 0.636807
-124.288400 40.158300 0.617481 0.564373 0.742901 0.615734
-124.268700 40.150200 0.586249 0.546689 0.664508 0.577953
-124.247700 40.138000 0.573148 0.536518 0.634706 0.609294
-124.241100 40.120400 0.573837 0.510379 0.644718 0.554795
-124.224100 40.104000 0.570124 0.559701 0.608357 0.570477
-124.201000 40.092800 0.583883 0.578453 0.660977 0.625915
-124.143500 40.092600 0.706635 0.663447 0.742192 0.725618
-124.129300 40.087400 0.725914 0.681720 0.791651 0.692948
-124.173800 40.084100 0.676970 0.551631 0.614027 0.642563
-124.120000 40.075600 0.792212 0.748052 0.893969 0.887062
-124.132400 40.053200 0.576748 0.510567 0.729275 0.610203
-124.140700 40.035000 0.486278 0.462107 0.569470 0.576504
-124.139500 40.016300 0.491624 0.462339 0.571043 0.566569
-124.139900 40.006600 0.495757 0.464517 0.551336 0.544600
-124.140000 39.992800 0.489660 0.476707 0.517420 0.520798
-124.140000 39.984000 0.571583 0.481684 0.541172 0.577617
-124.137000 39.973000 0.562675 0.492085 0.598994 0.628137
-124.133000 39.961000 0.609746 0.504691 0.601660 0.524549
-124.130000 39.953000 0.551336 0.494421 0.498331 0.492749
-124.127000 39.945000 0.490369 0.474487 0.490247 0.487159
-124.120000 39.937000 0.489127 0.459014 0.540262 0.476166
-124.113000 39.929000 0.497277 0.450756 0.564280 0.459696
-124.107000 39.921000 0.474414 0.436919 0.578802 0.472883
-124.100000 39.916000 0.474230 0.442746 0.744461 0.471405
-124.093000 39.912000 0.475494 0.449460 0.845365 0.480349
-124.087000 39.905000 0.476328 0.445498 0.783848 0.564235
-124.080000 39.899000 0.478997 0.451494 0.774101 0.615635
-124.073000 39.892000 0.502052 0.454060 1.107475 0.651603
-124.066000 39.887000 0.533166 0.462527 1.323195 0.653365
-124.053000 39.880000 0.549213 0.474670 1.382595 0.647474
-124.047000 39.875000 0.542461 0.544005 1.211340 0.561896
-124.039000 39.873000 0.584097 0.630868 1.185857 0.598988
-124.027000 39.869000 0.657675 0.625417 1.067017 0.565240
-124.000000 39.868000 0.778897 0.704369 0.870656 0.558942
-123.987000 39.868000 0.764327 0.688747 0.916105 0.567743
-124.013000 39.867000 0.683095 0.671243 0.958311 0.577016
-123.980000 39.864000 0.754755 0.687162 0.863155 0.567743
-123.971000 39.860000 0.712441 0.695381 0.872955 0.583861
-123.962000 39.853000 0.722851 0.689491 0.881109 0.598844
-123.954000 39.847000 0.712241 0.674580 0.920800 0.617886
-123.947000 39.840000 0.740853 0.704853 0.947358 0.593410
-123.941000 39.833000 0.772465 0.719109 0.983900 0.601813
-123.936000 39.827000 0.777856 0.702894 1.027830 0.576533
-123.930000 39.820000 0.832383 0.736300 0.960488 0.564474
-123.924000 39.813000 0.902542 0.742081 0.911261 0.570045
-123.918000 39.807000 0.893291 0.750996 0.957000 0.628486
-123.913000 39.800000 0.761654 0.705825 0.992411 0.602636
-123.907000 39.789000 0.715277 0.672415 0.935040 0.661874
-123.902000 39.780000 0.792942 0.691166 0.830713 0.773153
-123.899000 39.773000 0.809673 0.687714 0.837117 0.725811
-123.895000 39.760000 0.756435 0.696505 0.823469 0.694503
-123.892000 39.753000 0.812439 0.767798 0.799669 0.698720
-123.887000 39.747000 0.839412 0.836090 0.779120 0.717771
-123.880000 39.736000 0.886553 0.854004 0.810312 0.720192
-123.874000 39.727000 0.902867 0.807012 0.816405 0.755768
-123.871000 39.720000 0.876876 0.817961 0.816808 0.771407
-123.868000 39.707000 0.825588 0.753096 0.842415 0.819096
-123.867000 39.693000 0.854065 0.704125 0.856152 0.827887
-123.866000 39.687000 0.852549 0.695730 0.844258 0.803609
-123.863000 39.673000 0.726426 0.695816 0.861030 0.786060
-123.860000 39.663000 0.746443 0.701604 0.886873 0.794598
-123.857000 39.653000 0.764232 0.662016 0.965022 0.731830
-123.855000 39.640000 0.740895 0.663627 1.018775 0.729945
-123.853000 39.633000 0.773318 0.682201 1.021099 0.791338
-123.852000 39.620000 0.771839 0.684284 1.093001 0.836973
-123.850000 39.607000 0.664686 0.621917 1.108520 0.834407
-123.850000 39.593000 0.682646 0.622619 1.012964 0.850519
-123.851000 39.580000 0.651477 0.609550 0.977151 0.881660
-123.853000 39.572000 0.671236 0.578766 0.981901 0.889157
-123.853000 39.560000 0.687016 0.566966 1.006426 0.897689
-123.855000 39.547000 0.744972 0.616401 0.969726 0.862558
-123.853000 39.536000 0.699454 0.598843 0.915935 0.863487
-123.853000 39.527000 0.650302 0.562343 0.938117 0.868189
-123.853000 39.518000 0.583265 0.559710 1.006490 0.864403
-123.855000 39.507000 0.549876 0.560524 1.016303 0.865177
-123.859000 39.493000 0.530324 0.475404 1.149973 0.924300
-123.860000 39.487000 0.522051 0.468453 1.217784 0.975571
-123.863000 39.473000 0.577032 0.468691 1.267899 1.013193
-123.864000 39.460000 0.636708 0.498980 1.321786 1.028474
-123.866000 39.447000 0.618006 0.508979 1.150094 0.999655
-123.867000 39.440000 0.618977 0.513606 1.117536 0.972296
-123.871000 39.427000 0.629960 0.516167 0.955209 1.022454
-123.872000 39.413000 0.657094 0.520337 0.932301 1.040607
-123.873000 39.403000 0.627119 0.514765 0.890130 0.941870
-123.880000 39.394000 0.581669 0.510524 0.901730 0.872574
-123.887000 39.387000 0.658526 0.502934 0.929509 0.814056
-123.893000 39.384000 0.646232 0.500962 0.933556 0.876261
-123.893000 39.376000 0.657384 0.504351 0.937427 0.848180
-123.887000 39.367000 0.632608 0.509908 0.926514 0.722107
-123.880000 39.360000 0.632374 0.519470 0.889184 0.703272
-123.873000 39.359000 0.639329 0.526387 0.820716 0.765598
-123.865000 39.353000 0.654352 0.554748 0.748013 0.728460
-123.860000 39.341000 0.676335 0.601977 0.816794 0.788468
-123.859000 39.333000 0.680776 0.587485 0.774476 0.701871
-123.860000 39.327000 0.679546 0.574081 0.747961 0.680473
-123.858000 39.320000 0.670617 0.568847 0.757444 0.731581
-123.853000 39.311000 0.654893 0.575692 0.806963 0.694985
-123.849000 39.300000 0.646388 0.579214 0.827013 0.706628
-123.848000 39.287000 0.644534 0.573308 0.803204 0.780227
-123.847000 39.279000 0.756431 0.581574 0.822180 0.739827
-123.845000 39.267000 0.796870 0.577360 0.790433 0.790320
-123.843000 39.253000 0.742326 0.581247 0.798954 0.799958
-123.840000 39.244000 0.852594 0.576847 0.793713 0.727226
-123.833000 39.236000 0.746475 0.588904 0.819942 0.741198
-123.829000 39.227000 0.718415 0.588703 0.792964 0.717665
-123.826000 39.220000 0.729894 0.596151 0.804142 0.693965
-123.822000 39.207000 0.729554 0.593425 0.757696 0.647469
-123.819000 39.200000 0.665634 0.583536 0.760172 0.686134
-123.813000 39.188000 0.679731 0.585095 0.756450 0.637867
-123.812000 39.180000 0.641398 0.573324 0.752899 0.680842
-123.809000 39.167000 0.651013 0.562728 0.734842 0.623331
-123.808000 39.153000 0.641188 0.543261 0.675890 0.614785
-123.812000 39.140000 0.598606 0.541752 0.762791 0.644885
-123.813000 39.130000 0.623375 0.496163 0.749802 0.563615
-123.820000 39.126000 0.622591 0.482863 0.635044 0.541224
-123.827000 39.120000 0.622358 0.482407 0.679853 0.541800
-123.827000 39.107000 0.618142 0.460704 0.651845 0.571278
-123.832000 39.093000 0.543936 0.488573 0.670809 0.487257
-123.835000 39.087000 0.523405 0.481169 0.656833 0.490678
-123.837000 39.073000 0.503259 0.434305 0.585129 0.525778
-123.838000 39.060000 0.471296 0.463979 0.631333 0.475747
-123.840000 39.052000 0.534396 0.446511 0.585780 0.469557
-123.840000 39.040000 0.532936 0.470272 0.610302 0.494859
-123.837000 39.033000 0.544645 0.483034 0.631715 0.484678
-123.833000 39.022000 0.500958 0.488008 0.638784 0.495645
-123.833000 39.013000 0.499667 0.478369 0.623972 0.479063
-123.830000 39.000000 0.483037 0.467846 0.586717 0.457926
